id,tract_fips,description,dominant_race,income,income_bucket,pct_white,pct_black,pct_hispanic,pct_asian,vacancy_rate,amenity_bucket,city,description_version,centroid_lat,centroid_lon
1,13121011636,"Neighborhood 13121011636 is an urban neighborhood. The population is approximately 1,900 residents. The largest racial group is Asian at 55.3%, with a notable Hispanic population at 17.5%. The median household income is $100,769. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,100769,upper_middle,16.315789473684212,14.000000000000002,17.526315789473685,55.315789473684205,0.0011695906432748,commercial_mixed,Atlanta,real_data_v1,34.07244792894428,-84.25897395342447
2,13121011643,"Neighborhood 13121011643 is an urban neighborhood. The population is approximately 4,376 residents. The largest racial group is Asian at 50.6%, with a notable White population at 19.6%. The median household income is $85,590. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,85590,upper_middle,19.62979890310786,13.528336380255942,11.791590493601465,50.6398537477148,0.0549624357453538,commercial_mixed,Atlanta,real_data_v1,34.0953118122525,-84.26252755917582
3,13121011635,"Neighborhood 13121011635 is an urban neighborhood. The population is approximately 3,131 residents. Approximately 60.2% of residents identify as Asian. The median household income is $173,590. Most housing units are occupied. The area has many parks, schools, groceries, and local dining options.",asian,173590,high,32.928776748642605,3.034174385180453,2.076014053018205,60.172468859789205,0.0305944055944055,community_rich,Atlanta,real_data_v1,34.04448166020207,-84.12677944969589
4,13121011650,"Neighborhood 13121011650 is an urban neighborhood. The population is approximately 4,451 residents. The largest racial group is Asian at 44.5%, with a notable White population at 30.2%. The median household income is $166,488. The housing stock includes many vacant or abandoned properties. The area has many parks, schools, groceries, and local dining options.",asian,166488,high,30.21792855538081,19.50123567737587,4.6057065827903845,44.50685239272074,0.1526041666666666,community_rich,Atlanta,real_data_v1,34.061818401008495,-84.24548972377191
5,13121011648,"Neighborhood 13121011648 is an urban neighborhood. The population is approximately 2,348 residents. The largest racial group is Asian at 42.3%, with a notable White population at 42.2%. The median household income is $199,922. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",asian,199922,high,42.24872231686542,7.538330494037479,4.003407155025554,42.29131175468484,0.0,commercial_mixed,Atlanta,real_data_v1,34.04207898471384,-84.15129549061581
6,13121006802,"Neighborhood 13121006802 is an urban neighborhood. The population is approximately 1,521 residents. Approximately 87.7% of residents identify as Black. The median household income is $16,282. The housing stock includes many vacant or abandoned properties. The area has a mixed commercial profile with both services and everyday retail options.",black,16282,low,4.602235371466141,87.70545693622617,1.5121630506245891,0.0,0.2265758091993185,commercial_mixed,Atlanta,real_data_v1,33.704285428613254,-84.36096626108156
7,13121011308,"Neighborhood 13121011308 is an urban neighborhood. The population is approximately 1,913 residents. Approximately 96.6% of residents identify as Black. The median household income is $46,327. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",black,46327,low,1.5159435441714584,96.60219550444327,0.9409304756926294,0.0,0.0339578454332552,commercial_mixed,Atlanta,real_data_v1,33.63923145417156,-84.48874690149145
8,13121011307,"Neighborhood 13121011307 is an urban neighborhood. The population is approximately 5,185 residents. Approximately 94.7% of residents identify as Black. The median household income is $42,510. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",black,42510,low,2.8736740597878496,94.67695274831244,2.6036644165863065,0.0,0.1019354838709677,commercial_mixed,Atlanta,real_data_v1,33.65173290688809,-84.49202512909001
9,13121005503,"Neighborhood 13121005503 is an urban neighborhood. The population is approximately 1,505 residents. Approximately 98.6% of residents identify as Black. The median household income is $19,777. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",black,19777,low,0.0,98.6046511627907,0.0,0.0,0.1070931849791377,commercial_mixed,Atlanta,real_data_v1,33.71147894045952,-84.39080334246943
10,13121010528,"Neighborhood 13121010528 is an urban neighborhood. The population is approximately 4,025 residents. Approximately 71.7% of residents identify as Black. The median household income is $46,431. Most housing units are occupied. The area has a mixed commercial profile with both services and everyday retail options.",black,46431,low,8.149068322981366,71.67701863354037,17.440993788819874,0.0,0.0414647280560043,commercial_mixed,Atlanta,real_data_v1,33.56714297114964,-84.5572113203378
